sample_id	aro_gene	hit_rows
E_1-2	KPC-17	28
E_1-2	BES-1	55
E_1-2	MOX-15	96
E_1-2	ACT-38	11
E_1-2	PDC-109	2
E_1-2	BlaB-2	17
E_1-2	ACT-79	44
E_1-2	erm(40)	148
E_1-2	MOX-16	192
E_1-2	KPC-19	12
E_1-2	BlaB-3	14
E_1-2	ACT-39	13
E_1-2	MOX-17	207
E_1-2	MOX-18	180
E_1-2	BlaB-5	14
E_1-2	MOX-19	92
E_1-2	BlaB-6	14
E_1-2	MSI-OXA	173
E_1-2	BlaB-7	18
E_1-2	BlaB-8	20
E_1-2	THIN-B	148
E_1-2	BlaB-9	19
E_1-2	vanR_in_vanC_cl	18453
E_1-2	Pmir_dfrA6	633
E_1-2	vanR_in_vanG_cl	17059
E_1-2	ANA-1	10
E_1-2	vanH_in_vanA_cl	1994
E_1-2	ADC-91	1
E_1-2	ADC-92	11
E_1-2	ADC-52	3
E_1-2	ADC-93	6
E_1-2	ADC-11	9
E_1-2	otr(B)	890
E_1-2	ADC-12	11
E_1-2	ADC-54	1
E_1-2	OKP-B-34	9
E_1-2	ADC-13	25
E_1-2	Rsph_ampC_BLA	89
E_1-2	VatI	2240
E_1-2	ADC-14	21
E_1-2	lin	23298
E_1-2	OKP-B-36	1
E_1-2	ADC-97	1
E_1-2	ADC-56	2
E_1-2	ADC-15	22
E_1-2	ErmA	105
E_1-2	ADC-98	7
E_1-2	ADC-16	25
E_1-2	ErmB	198
E_1-2	cmlB	1318
E_1-2	ADC-99	7
E_1-2	ADC-58	19
E_1-2	ADC-17	17
E_1-2	ErmC	115
E_1-2	MCR-1.20	397
E_1-2	nimA	491
E_1-2	EreA	302
E_1-2	ADC-18	16
E_1-2	ADC-59	19
E_1-2	MCR-1.21	317
E_1-2	ErmD	548
E_1-2	tet(42)	2646
E_1-2	nimB	390
E_1-2	EreB	404
E_1-2	ANT(4')-IIa	1
E_1-2	ADC-19	19
E_1-2	ErmE	220
E_1-2	MCR-1.22	253
E_1-2	nimC	353
E_1-2	ANT(4')-IIb	1
E_1-2	KPC-181	2
E_1-2	MCR-1.23	416
E_1-2	ErmF	1321
E_1-2	nimD	389
E_1-2	EreD	427
E_1-2	KPC-141	1
E_1-2	KPC-182	1
E_1-2	KPC-100	1
E_1-2	SHV-214	2
E_1-2	LAQ-1	34
E_1-2	MCR-1.24	24
E_1-2	ErmG	75
E_1-2	nimE	372
E_1-2	OKP-A-1	38
E_1-2	ErmH	261
E_1-2	Paer_CpxR	15504
E_1-2	nimF	348
E_1-2	CMY-8b	205
E_1-2	OKP-A-2	83
E_1-2	KPC-143	1
E_1-2	KPC-184	2
E_1-2	KPC-102	2
E_1-2	MCR-1.26	1534
E_1-2	nimG	425
E_1-2	OKP-A-3	78
E_1-2	KPC-185	11
E_1-2	GOB-40	93
E_1-2	MCR-1.27	709
E_1-2	nimH	360
E_1-2	OKP-A-4	68
E_1-2	KPC-186	14
E_1-2	SHV-218	11
E_1-2	GOB-41	51
E_1-2	MCR-1.28	371
E_1-2	nimI	249
E_1-2	OKP-A-5	63
E_1-2	SHV-219	1
