sample_id	iso3	country	collection_date	run_accession	fastq_1	fastq_2	md5_1	md5_2	bytes_1	bytes_2	already_processed
ERR1713383	POL	Poland	2016-02-02	ERR1713383	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/003/ERR1713383/ERR1713383_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/003/ERR1713383/ERR1713383_2.fastq.gz	833835ba7bf25fb7a84a045ff034525d	417c48bf83e8a3273b86939f98385b5e	2289514940	2509692755	NO
ERR1713388	SRB	Serbia	2016-01-27	ERR1713388	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/008/ERR1713388/ERR1713388_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/008/ERR1713388/ERR1713388_2.fastq.gz	3ba8ef67fa8f0e46b8ee497630cec8ac	8cda3af01e1b31755c1962b6f01b6502	2201265445	2494113826	NO
ERR1725944	AUS	Australia	2016-02-08	ERR1725944	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/004/ERR1725944/ERR1725944_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/004/ERR1725944/ERR1725944_2.fastq.gz	4850526dabebf818dc2d3f3966f688ad	7b68a135de9b32f4f195e2106bfe7b56	1397710358	1641974593	NO
ERR1725961	CHE	Switzerland	2016-01-27	ERR1725961	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/001/ERR1725961/ERR1725961_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/001/ERR1725961/ERR1725961_2.fastq.gz	8ca183812d52210d0d62544d43f77f52	2c9b9d78d04134cb715ebae7738584c7	958725468	1081390362	NO
ERR1725967	DEU	Germany	2016-02-08	ERR1725967	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/007/ERR1725967/ERR1725967_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/007/ERR1725967/ERR1725967_2.fastq.gz	2f88b8c566159b914cfb2ab2e24a53b9	10ea83502a7cdbc05933744e15a8ae7f	657956460	786500914	NO
ERR1725969	ESP	Spain	2016-02-10	ERR1725969	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/009/ERR1725969/ERR1725969_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/009/ERR1725969/ERR1725969_2.fastq.gz	76f56145fcc8d1f7730bcc6c4ef9bb01	07c27439327d332cdf55f0686b9cd6b0	2930573469	3321687903	NO
ERR1725970	ESP	Spain	2016-02-10	ERR1725970	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/000/ERR1725970/ERR1725970_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/000/ERR1725970/ERR1725970_2.fastq.gz	37cb3b6c343c305fc253a199423b628c	bf8f74ebb87b3a805c10f9d0a9ac4426	2734528656	3113353900	NO
ERR1725977	HRV	Croatia	2016-02-08	ERR1725977	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/007/ERR1725977/ERR1725977_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/007/ERR1725977/ERR1725977_2.fastq.gz	843df6f4afdf822a4941ae166ed5cd86	0c1dda77ca9a2ad250ed67b8f0b7263e	280099530	324459481	NO
ERR1725998	NLD	Netherlands	2016-01-27	ERR1725998	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/008/ERR1725998/ERR1725998_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/008/ERR1725998/ERR1725998_2.fastq.gz	fe3ee588d49a1cb1fce5c870c87a3ac6	e44fc1c86abc9f8277ac9e30345fa538	2213611217	2566334984	NO
ERR1726002	SRB	Serbia	2016-01-27	ERR1726002	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/002/ERR1726002/ERR1726002_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/002/ERR1726002/ERR1726002_2.fastq.gz	2cbc1bbbfc42308049d533d6c85abb13	ae947e15a9d7421ce20fe22d3886da84	462287090	551003614	NO
